DIA_SEMANA,ANIO_Y__MES_EVENTO,SEMANA_ANIO,DIA_EVENTO
Viernes,201208,35,31
Martes,201210,41,9
Lunes,201211,45,5
Viernes,201211,46,16
Sabado,201212,48,1
Martes,200901,4,20
Sabado,200901,3,17
Lunes,200807,29,14
Domingo,201301,1,6
Sabado,201301,2,12
Lunes,201302,9,25
Lunes,201304,17,22
Martes,201304,17,23
Domingo,200812,50,14
Sabado,200712,48,1
Miercoles,201304,17,24
Domingo,201012,50,19
Lunes,201304,18,29
Lunes,201305,22,27
Sabado,200908,32,8
Jueves,200906,26,25
Jueves,200810,43,23
Sabado,200606,25,24
Domingo,201207,26,1
Viernes,201207,27,6
Domingo,201207,29,22
Martes,201306,23,4
Viernes,201306,25,21
Jueves,201307,27,4
Lunes,201307,31,29
Sabado,201308,32,10
Lunes,201309,36,2
Lunes,201309,36,2
Martes,201309,37,10
Domingo,201310,40,6
Sabado,201311,44,2
Domingo,201311,44,3
Domingo,200805,21,25
Domingo,201311,45,10
Sabado,201311,46,16
Domingo,201311,46,17
Miercoles,201009,38,22
Viernes,201311,47,22
Sabado,201311,47,23
Sabado,201311,47,23
Sabado,201311,48,30
Viernes,200212,49,6
Viernes,200902,8,20
Miercoles,200707,28,11
Sabado,200912,50,12
Sabado,200608,34,26
Viernes,200309,37,12
Miercoles,200703,10,7
Sabado,200708,31,4
Jueves,200901,1,1
Domingo,200610,40,8
Sabado,200808,32,9
Lunes,200906,23,1
Sabado,200904,16,18
Martes,200807,27,1
Lunes,200802,9,25
Domingo,200801,3,20
Miercoles,200707,28,11
Lunes,200411,46,8
Lunes,200601,3,16
Domingo,200903,10,8
Martes,200605,19,9
Sabado,200507,26,2
Viernes,200512,48,2
Lunes,200602,8,20
Jueves,200708,33,16
Martes,200909,36,1
Martes,201004,17,27
Lunes,201008,35,30
Sabado,200308,31,2
Domingo,200503,12,27
Lunes,200804,18,28
Martes,200503,11,15
Martes,200303,11,11
Martes,200703,13,27
Sabado,201012,51,25
Domingo,200507,26,3
Sabado,200603,9,4
Miercoles,201010,42,20
Domingo,200601,4,29
Viernes,200804,14,4
Lunes,200704,15,9
Lunes,200912,53,28
Jueves,200803,11,13
Miercoles,200709,38,19
Sabado,200607,28,15
Jueves,200301,3,16
Sabado,200605,19,13
Sabado,200711,47,24
Domingo,201011,44,7
Martes,201009,36,7
Domingo,200603,9,5
Jueves,200404,14,1
Sabado,200711,47,24
Lunes,200509,36,5
Martes,200512,50,13
Viernes,200807,30,25
Martes,200602,7,14
Sabado,201003,10,13
Martes,201105,22,31
Miercoles,201010,43,27
Domingo,200910,41,11
Miercoles,200211,48,27
Domingo,200412,52,26
Domingo,200912,49,6
Domingo,201001,3,24
Sabado,200809,38,20
Jueves,201006,22,3
Sabado,200209,36,7
Sabado,201008,32,14
Viernes,200804,14,4
Viernes,200509,35,2
Sabado,200507,26,2
Jueves,200412,51,16
Sabado,200211,45,9
Sabado,200701,4,27
Lunes,200705,20,14
Domingo,200607,30,30
Domingo,201010,41,17
Domingo,200711,45,11
Martes,200909,37,8
Lunes,200808,33,11
Viernes,200803,12,21
Jueves,201003,9,4
Viernes,200808,34,22
Lunes,200909,37,7
Jueves,200508,32,11
Viernes,200209,39,27
Lunes,200804,16,14
Lunes,200809,40,29
Jueves,200906,26,25
Lunes,200703,13,26
Jueves,200612,49,7
Martes,200303,10,4
Domingo,201006,22,6
Martes,200602,7,14
Lunes,201011,47,22
Domingo,200709,37,16
Lunes,200401,3,12
Viernes,200803,12,21
Viernes,200509,35,2
Jueves,200502,5,3
Domingo,200604,14,9
Viernes,200404,17,23
Martes,200912,49,1
Miercoles,200812,1,31
Miercoles,200505,21,25
Martes,200803,10,4
Lunes,201010,42,18
Jueves,200812,49,4
Sabado,200503,12,26
Viernes,200208,34,23
Martes,200802,7,12
Viernes,200812,50,12
Jueves,200705,21,24
Miercoles,200211,46,13
Domingo,200408,32,8
Domingo,200608,34,27
Viernes,200509,39,30
Miercoles,200507,28,13
Miercoles,200807,29,16
Viernes,200301,3,17
Domingo,200506,25,26
Martes,200807,31,29
Sabado,200402,8,21
Jueves,200611,48,30
Sabado,201006,22,5
Domingo,200905,19,10
Lunes,200902,8,16
Domingo,200807,30,27
Sabado,200604,13,1
Lunes,200912,52,21
Domingo,201011,47,28
Lunes,200706,26,25
Domingo,200809,39,28
Viernes,200512,50,16
Domingo,200810,43,26
Miercoles,200708,35,29
Jueves,200608,33,17
Martes,201005,21,25
Lunes,200610,41,9
Viernes,201010,40,8
Sabado,200604,14,8
Jueves,200707,29,19
Domingo,201010,41,17
